Dataset,Defended,Experiment,Attack,Deg,Adv Acc,Count
cifar10,True,base,Benign,0.00,87.69,67
cifar10,True,base,LGV (A),2.01,85.68,67
cifar10,True,base,LGV (B),5.23,82.45,67
cifar10,True,base,SSAH (B),0.14,87.54,67
cifar10,True,base,SSAH (A),0.55,87.13,67
cifar10,True,base,AutoAttack,29.55,58.14,67
cifar10,True,base,Admix (A),2.87,84.82,67
cifar10,True,base,Admix (B),21.22,66.47,67
cifar10,True,base,DI-TI-Admix (A),4.25,83.44,67
cifar10,True,base,DI-Admix (A),3.55,84.14,67
cifar10,True,base,DI-TI-LGV (A),3.06,84.63,67
cifar10,True,base,VNI-FGSM (B),24.21,63.47,67
cifar10,True,base,VNI-FGSM (A),2.55,85.14,67
cifar10,True,base,DI-LGV (A),2.66,85.03,67
cifar10,True,base,VNI-DI-FGSM (A),2.66,85.03,67
cifar10,True,base,VNI-DI-TI-FGSM (A),3.40,84.29,67
cifar10,True,base,BIA (A),1.02,86.67,67
cifar10,True,base,BIA+DA (A),0.99,86.70,67
cifar10,True,base,BIA+RN (A),1.12,86.57,67
cifar10,True,base,BIA (B),0.79,86.89,67
cifar10,True,base,BIA (T-a),1.97,85.72,67
cifar10,True,base,BIA (T-b),2.23,85.46,67
cifar10,True,base,BIA+DA (T-a),1.98,85.70,67
cifar10,True,base,BIA+RN (T-a),1.93,85.76,67
cifar10,True,base,BIA (T-c),2.28,85.41,67
cifar10,True,base,BIA+DA (T-b),2.20,85.49,67
cifar10,True,base,BIA+DA (T-c),2.32,85.37,67
cifar10,True,base,BIA (T-d),2.18,85.51,67
cifar10,True,base,BIA+RN (T-c),2.62,85.07,67
cifar10,True,base,BIA+RN (T-b),2.53,85.16,67
cifar10,True,base,BIA+DA (T-d),2.03,85.65,67
cifar10,True,base,BIA+RN (T-d),2.13,85.55,67
cifar10,True,base,Square,25.34,62.34,67
cifar10,True,base,ACG,28.50,59.19,67
cifar10,True,base,AutoAttack (T),1.59,86.10,67
cifar10,False,base,Benign,0.00,94.02,12
cifar10,False,base,LGV (A),92.29,1.73,12
cifar10,False,base,LGV (B),94.01,0.01,12
cifar10,False,base,SSAH (B),3.28,90.74,12
cifar10,False,base,SSAH (A),6.69,87.33,12
cifar10,False,base,AutoAttack,94.02,0.00,12
cifar10,False,base,Admix (A),90.28,3.74,12
cifar10,False,base,Admix (B),93.63,0.39,12
cifar10,False,base,DI-TI-Admix (A),77.26,16.76,12
cifar10,False,base,DI-Admix (A),90.28,3.75,12
cifar10,False,base,DI-TI-LGV (A),32.08,61.95,12
cifar10,False,base,VNI-FGSM (B),91.40,2.62,12
cifar10,False,base,VNI-FGSM (A),79.57,14.45,12
cifar10,False,base,DI-LGV (A),92.45,1.57,12
cifar10,False,base,VNI-DI-FGSM (A),77.79,16.23,12
cifar10,False,base,VNI-DI-TI-FGSM (A),66.11,27.91,12
cifar10,False,base,BIA (A),6.09,87.93,12
cifar10,False,base,BIA+DA (A),7.78,86.24,12
cifar10,False,base,BIA+RN (A),8.16,85.86,12
cifar10,False,base,BIA (B),35.30,58.72,12
cifar10,False,base,BIA (T-a),22.81,71.22,12
cifar10,False,base,BIA (T-b),27.91,66.11,12
cifar10,False,base,BIA+DA (T-a),24.13,69.90,12
cifar10,False,base,BIA+RN (T-a),24.76,69.27,12
cifar10,False,base,BIA (T-c),27.22,66.80,12
cifar10,False,base,BIA+DA (T-b),30.63,63.39,12
cifar10,False,base,BIA+DA (T-c),27.84,66.18,12
cifar10,False,base,BIA (T-d),18.42,75.60,12
cifar10,False,base,BIA+RN (T-c),28.94,65.08,12
cifar10,False,base,BIA+RN (T-b),31.28,62.74,12
